source,target
35030,95283
17842,94680
25837,26013
93460,18230
192759,177389
92200,57084
93460,156643
156530,147297
25837,26061
91831,52400
20931,20930
91831,94177
25837,57493
25837,155272
25837,24031
25837,81759
171745,90406
24204,59066
52108,191915
171745,90405
16753,95271
25837,90532
52108,191976
24204,119494
25837,90592
67295,168488
25837,91156
25837,93428
67295,147297
67295,27543
25837,150143
156530,59187
24204,18891
25837,17872
91831,93538
126544,177029
52108,25837
25837,92061
67295,16656
25837,90980
91077,95271
93460,97678
91831,14677
25837,55913
93460,15741
67295,14773
67295,34440
52108,155272
24204,15712
25837,155312
146551,92189
93460,90703
24204,24197
25837,46075
171745,177107
25837,13945
93460,93456
91077,177267
52108,92072
25837,81803
24204,61078
4731,71414
85818,86689
25837,91285
91077,29590
52108,57270
156530,34666
91831,91847
25837,65753
56944,155312
156530,93747
63361,177261
146551,93429
29031,177029
25837,56173
24204,155312
63361,115650
25837,57344
25837,84976
25837,15741
63361,171903
146551,92184
91831,180340
67295,16599
35030,89613
56944,119494
25837,52108
185848,95270
63361,63479
63361,92350
25837,29588
25837,26030
146551,145023
173303,177044
25837,119494
67295,154708
63361,63546
35030,16599
146551,92188
25837,141702
25837,90973
35030,18931
25837,90702
25837,156768
52108,92504
91831,154264
52108,155312
29031,132701
52108,159714
52108,32430
25837,92733
25837,187070
67295,18973
24204,24221
92200,57270
91831,177107
29031,172240
4731,28953
25837,43202
24204,177014
67295,193571
93460,155312
25837,57289
25837,86934
91831,180537
25837,3356
146551,35464
67295,48832
24204,93659
93460,98117
25837,25755
146551,92187
146551,144979
63361,29588
63361,128328
16753,177267
171745,39773
67295,91307
171745,154264
63361,119494
93460,113276
53090,90338
126544,18230
24204,91116
52108,159851
63361,63635
25837,70664
25837,57169
156530,14873
93460,94869
67295,14873
25837,94229
25837,92072
64666,95270
67295,22100
25837,24504
52108,119494
4731,85493
25837,61086
52108,92665
67295,92367
85818,176674
52108,52385
98138,98262
146551,180343
159938,18230
67295,171933
52108,92061
67295,89613
25837,90695
171745,92249
25837,55889
93460,95046
25837,57225
91831,151731
146551,145019
25837,26026
93460,113002
30044,95272
20931,57270
159938,90703
93460,156644
52108,64941
25837,61087
63361,141702
146551,35575
67295,48829
4731,159885
63361,92305
25837,155407
35030,22100
25837,159714
24204,95271
16753,127075
16753,16100
63361,177262
91831,85160
52108,133861
24204,20527
24204,28976
25837,91398
93460,6051
25837,95271
35030,89612
80495,147297
25837,63404
91831,174435
25837,128328
63361,124262
52108,57225
63361,85685
93460,119494
52108,103076
25837,15712
86197,75922
27495,22100
25837,31817
25837,176349
29031,94102
95789,95788
90426,5403
29031,90703
24204,16815
145821,93409
126544,90703
118761,90703
25837,109811
146551,120727
63361,92117
67295,14225
25837,65403
17842,108120
93460,118181
25837,193588
25837,143578
67295,75922
25837,112946
4731,38837
52108,69518
192759,95155
24204,32262
29915,95272
52108,78507
92200,57259
156530,123771
146551,155312
91831,93540
63324,95062
52108,63927
63361,42188
71771,127139
146551,4893
168405,124770
78163,189821
60606,189821
55280,95271
117560,121628
188332,188334
89567,95271
135031,90705
77432,55685
122047,184299
77432,133053
125368,177153
55280,83293
122047,5403
188332,14814
24879,177261
77432,67763
115782,119494
77432,141702
77432,155312
55280,24195
60606,177160
115782,141702
125368,26448
60606,177153
115782,155312
60606,141702
77432,145202
168405,168488
92348,172024
77432,16190
135031,135037
55280,127441
81247,132986
24879,171903
77432,27049
125368,92175
78163,177160
154059,66867
125368,119494
135031,104950
81247,133562
125368,141702
122047,5406
77432,22971
77432,93664
77432,119494
78163,128328
29831,75460
125368,155312
188332,136605
78163,34513
60606,128328
168405,89613
81247,133752
60606,34513
115782,123912
115782,30866
60606,155312
89567,177267
55280,141702
60606,119494
29831,95272
55280,155312
30795,119494
92348,36756
92348,14800
125368,119420
92348,128464
55280,32038
60606,92175
78163,177153
57016,177096
154837,75922
136464,86371
92348,10862
55280,119494
77432,120827
125368,29198
29831,91093
77432,120352
37793,119494
92348,166535
125368,80660
77432,177044
78163,141702
89567,83293
125368,119446
77432,23019
117560,28980
92348,81604
84156,130715
92348,36733
77432,91458
192967,79214
55280,16100
37793,18230
30795,30866
77432,91973
122047,50459
84156,144979
122047,14854
90218,95056
168405,16656
87342,159457
192967,54049
125368,128328
24879,90619
59157,89613
188332,61946
24879,155272
89567,16099
77432,65410
125368,119436
192967,38552
92348,91750
77432,16702
122047,136781
30795,155312
89567,95400
30795,141702
87804,94323
122047,89613
60606,119420
122047,145241
24879,57084
24879,94954
77432,25107
125368,30866
125368,119409
78163,60606
60606,190957
186877,68825
20174,14869
29831,128484
60606,92752
135031,86670
151790,15741
37793,155312
24879,141702
14711,52400
125368,85725
78163,128232
192967,38491
136464,176674
63424,92290
135031,59324
117560,117541
59157,59020
37793,172240
188332,95017
192967,79149
59157,16599
24879,155312
78163,119494
192967,5239
135031,134910
188332,21974
186877,51819
77432,24840
168405,124789
59157,18931
24879,63635
136464,28377
24879,135664
135031,134903
55280,31864
59157,22100
77432,120787
77432,171945
78163,155312
125368,125434
188332,21973
92348,36740
77432,128328
27492,75262
77432,59186
30795,123912
92348,93311
59157,32464
188332,78069
89567,127441
115782,119380
55280,93512
115782,24630
77432,131447
78163,92752
78163,92175
60606,179474
59157,95272
24879,185503
77432,141832
78163,89613
192967,93634
125368,29120
77432,177033
115782,119405
24879,15712
77432,141849
81247,133569
135031,134909
24879,119494
192967,79303
60606,78163
55280,32322
14711,94177
24879,34363
26224,26221
115424,59893
115424,141702
115424,119494
